0,ENSBTAP00000055373,ENSP00000360635,ENSPTRP00000048620,ENSMMUP00000029958,ENSGGOP00000017869,ENSMUSP00000028332,ENSRNOP00000017271,ENSGALP00000045599,NULL
1,ENSBTAP00000030484,ENSP00000348471,ENSPTRP00000019950,ENSMMUP00000052159,ENSGGOP00000000860,ENSMUSP00000020997,ENSRNOP00000060428,ENSGALP00000048230,ENSXETP00000036567
2,ENSBTAP00000004603,ENSP00000382114,ENSPTRP00000055706,ENSMMUP00000010185,ENSGGOP00000023942,ENSMUSP00000058264,ENSRNOP00000005905,ENSGALP00000026378,ENSXETP00000025129
3,ENSBTAP00000056605,ENSP00000371073,NULL,ENSMMUP00000046813,ENSGGOP00000023557,ENSMUSP00000083892,ENSRNOP00000064541,ENSGALP00000026933,ENSXETP00000008924
4,ENSBTAP00000055993,NULL,NULL,NULL,NULL,ENSMUSP00000097419,ENSRNOP00000048513,NULL,NULL
5,ENSBTAP00000048162,ENSP00000342448,ENSPTRP00000006272,ENSMMUP00000021239,ENSGGOP00000011997,ENSMUSP00000088213,ENSRNOP00000047379,NULL,NULL
6,ENSBTAP00000052072,ENSP00000301532,ENSPTRP00000006273,ENSMMUP00000021238,ENSGGOP00000022839,ENSMUSP00000088211,ENSRNOP00000007603,NULL,NULL
7,ENSBTAP00000052281,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,ENSBTAP00000015780,ENSP00000239231,ENSPTRP00000029910,ENSMMUP00000042989,ENSGGOP00000025550,ENSMUSP00000018990,ENSRNOP00000056531,ENSGALP00000047049,ENSXETP00000029925
9,ENSBTAP00000046486,ENSP00000332164,ENSPTRP00000029913,ENSMMUP00000022488,ENSGGOP00000023288,ENSMUSP00000066857,ENSRNOP00000009714,ENSGALP00000002963,ENSXETP00000029943
10,ENSBTAP00000046611,ENSP00000355651,ENSPTRP00000003529,ENSMMUP00000049795,ENSGGOP00000015332,ENSMUSP00000113886,ENSRNOP00000048878,ENSGALP00000044805,NULL
11,ENSBTAP00000011319,ENSP00000328182,ENSPTRP00000034154,ENSMMUP00000046564,ENSGGOP00000020963,ENSMUSP00000027554,ENSRNOP00000016756,ENSGALP00000045958,NULL
12,ENSBTAP00000000087,ENSP00000284617,ENSPTRP00000003530,ENSMMUP00000037310,ENSGGOP00000014570,ENSMUSP00000113319,ENSRNOP00000023911,ENSGALP00000051501,NULL
13,ENSBTAP00000054966,ENSP00000284617,ENSPTRP00000003530,ENSMMUP00000037310,ENSGGOP00000014570,ENSMUSP00000113319,ENSRNOP00000023911,ENSGALP00000051501,NULL
14,ENSBTAP00000054648,ENSP00000370639,NULL,ENSMMUP00000041367,ENSGGOP00000002902,ENSMUSP00000137135,ENSRNOP00000001791,ENSGALP00000026872,ENSXETP00000033605
15,ENSBTAP00000011327,ENSP00000431012,ENSPTRP00000034156,ENSMMUP00000053492,ENSGGOP00000024954,ENSMUSP00000081225,ENSRNOP00000064046,ENSGALP00000026323,ENSXETP00000025378
16,ENSBTAP00000006532,ENSP00000355645,ENSPTRP00000003532,ENSMMUP00000029086,ENSGGOP00000000915,ENSMUSP00000034453,ENSRNOP00000024084,ENSGALP00000048103,NULL
17,ENSBTAP00000006534,ENSP00000355645,ENSPTRP00000003532,ENSMMUP00000029086,ENSGGOP00000000915,ENSMUSP00000034453,ENSRNOP00000024084,ENSGALP00000048103,NULL
18,ENSBTAP00000006535,ENSP00000261396,ENSPTRP00000003533,ENSMMUP00000037314,ENSGGOP00000021890,ENSMUSP00000048084,ENSRNOP00000024182,ENSGALP00000018048,ENSXETP00000002685
19,ENSBTAP00000022677,ENSP00000355637,ENSPTRP00000003536,NULL,ENSGGOP00000023956,ENSMUSP00000075011,ENSRNOP00000024232,ENSGALP00000018057,ENSXETP00000049493
20,ENSBTAP00000010757,ENSP00000265295,ENSPTRP00000029917,ENSMMUP00000012262,ENSGGOP00000003270,ENSMUSP00000090882,ENSRNOP00000009648,ENSGALP00000003001,ENSXETP00000043089
21,ENSBTAP00000024334,ENSP00000321544,ENSPTRP00000053250,ENSMMUP00000042567,ENSGGOP00000017129,ENSMUSP00000068321,ENSRNOP00000016420,ENSGALP00000036161,ENSXETP00000052939
22,ENSBTAP00000012351,ENSP00000262113,ENSPTRP00000034166,ENSMMUP00000044805,ENSGGOP00000025707,ENSMUSP00000033842,ENSRNOP00000015908,ENSGALP00000026310,ENSXETP00000016808
23,ENSBTAP00000019460,ENSP00000256935,ENSPTRP00000029919,ENSMMUP00000012264,ENSGGOP00000028678,ENSMUSP00000090884,ENSRNOP00000056557,ENSGALP00000003234,ENSXETP00000043109
24,ENSBTAP00000052514,NULL,NULL,NULL,ENSGGOP00000018571,ENSMUSP00000128710,NULL,ENSGALP00000018059,ENSXETP00000050395
25,ENSBTAP00000013435,ENSP00000258243,ENSPTRP00000003538,ENSMMUP00000055536,ENSGGOP00000020893,ENSMUSP00000034457,ENSRNOP00000029895,ENSGALP00000018065,ENSXETP00000050397
26,ENSBTAP00000006404,ENSP00000355632,ENSPTRP00000003539,ENSMMUP00000060201,ENSGGOP00000000541,ENSMUSP00000034458,ENSRNOP00000068936,ENSGALP00000018070,ENSXETP00000050410
27,ENSBTAP00000038812,ENSP00000375733,ENSPTRP00000003540,ENSMMUP00000003057,ENSGGOP00000004907,ENSMUSP00000054788,ENSRNOP00000054889,ENSGALP00000046031,ENSXETP00000050416
28,ENSBTAP00000056407,ENSP00000318884,ENSPTRP00000003647,ENSMMUP00000010836,ENSGGOP00000001003,ENSMUSP00000030039,ENSRNOP00000070887,ENSGALP00000050709,ENSXETP00000035438
29,ENSBTAP00000024876,ENSP00000355652,ENSPTRP00000003525,ENSMMUP00000003912,ENSGGOP00000007740,ENSMUSP00000038915,ENSRNOP00000069781,ENSGALP00000042335,ENSXETP00000005520
30,ENSBTAP00000049677,ENSP00000485319,ENSPTRP00000050812,NULL,ENSGGOP00000019849,ENSMUSP00000097429,ENSRNOP00000007689,NULL,NULL
31,ENSBTAP00000051917,ENSP00000485319,ENSPTRP00000050812,NULL,ENSGGOP00000019849,ENSMUSP00000097429,ENSRNOP00000007689,NULL,NULL
32,ENSBTAP00000005524,NULL,NULL,NULL,NULL,ENSMUSP00000075066,ENSRNOP00000036565,NULL,NULL
33,ENSBTAP00000036812,NULL,NULL,NULL,NULL,ENSMUSP00000097413,ENSRNOP00000049489,NULL,NULL
34,ENSBTAP00000054428,ENSP00000355599,ENSPTRP00000046783,ENSMMUP00000021291,ENSGGOP00000003133,ENSMUSP00000075290,ENSRNOP00000063911,ENSGALP00000054756,ENSXETP00000046297
35,ENSBTAP00000054483,ENSP00000355599,ENSPTRP00000046783,ENSMMUP00000021291,ENSGGOP00000003133,ENSMUSP00000075290,ENSRNOP00000063911,ENSGALP00000054756,ENSXETP00000046297
36,ENSBTAP00000056441,ENSP00000355601,ENSPTRP00000043802,ENSMMUP00000006946,ENSGGOP00000025936,ENSMUSP00000034469,ENSRNOP00000026767,ENSGALP00000056238,ENSXETP00000046302
37,ENSBTAP00000013871,NULL,NULL,NULL,NULL,NULL,NULL,ENSGALP00000056238,ENSXETP00000046302
38,ENSBTAP00000008030,ENSP00000295050,ENSPTRP00000003564,ENSMMUP00000006940,ENSGGOP00000003089,ENSMUSP00000034467,ENSRNOP00000033080,ENSGALP00000017996,ENSXETP00000046307
39,ENSBTAP00000011364,ENSP00000296435,ENSPTRP00000025671,ENSMMUP00000013960,ENSGGOP00000012112,ENSMUSP00000107653,ENSRNOP00000028130,ENSGALP00000030658,NULL
40,ENSBTAP00000026747,ENSP00000296435,ENSPTRP00000025671,ENSMMUP00000013960,ENSGGOP00000012112,ENSMUSP00000107653,ENSRNOP00000028130,ENSGALP00000030658,NULL
41,ENSBTAP00000014266,ENSP00000355607,ENSPTRP00000003562,ENSMMUP00000007650,ENSGGOP00000016163,ENSMUSP00000034466,ENSRNOP00000026617,ENSGALP00000018176,ENSXETP00000048781
42,ENSBTAP00000002760,ENSP00000366582,ENSPTRP00000047863,ENSMMUP00000050163,ENSGGOP00000007647,ENSMUSP00000129183,ENSRNOP00000049022,ENSGALP00000042727,ENSXETP00000054192
43,ENSBTAP00000019467,ENSP00000304286,ENSPTRP00000029920,ENSMMUP00000018558,ENSGGOP00000023743,ENSMUSP00000058651,ENSRNOP00000009058,ENSGALP00000003279,ENSXETP00000005340
44,ENSBTAP00000055119,NULL,NULL,NULL,NULL,NULL,NULL,ENSGALP00000044707,ENSXETP00000011357
