0,ENSGALP00000056694,ENSP00000354687,ENSPTRP00000061407,ENSMMUP00000054539,ENSGGOP00000018398,ENSMUSP00000080991,ENSRNOP00000049172,ENSBTAP00000053145,ENSXETP00000064132
1,ENSGALP00000051543,ENSP00000355046,ENSPTRP00000061406,ENSMMUP00000031383,ENSGGOP00000023225,ENSMUSP00000080992,ENSRNOP00000043885,ENSBTAP00000053160,ENSXETP00000064133
2,ENSGALP00000046506,ENSP00000354499,ENSPTRP00000061408,ENSMMUP00000031382,ENSGGOP00000027698,ENSMUSP00000080993,ENSRNOP00000039048,ENSBTAP00000053147,ENSXETP00000064134
3,ENSGALP00000058371,ENSP00000354876,ENSPTRP00000061402,ENSMMUP00000031381,ENSGGOP00000020982,ENSMUSP00000080994,ENSRNOP00000046414,ENSBTAP00000053151,ENSXETP00000064135
4,ENSGALP00000055032,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,ENSGALP00000057531,ENSP00000354632,ENSPTRP00000061399,ENSMMUP00000031379,ENSGGOP00000022639,ENSMUSP00000080996,ENSRNOP00000049769,ENSBTAP00000053155,ENSXETP00000064137
6,ENSGALP00000050525,ENSP00000354982,ENSPTRP00000061404,ENSMMUP00000031378,ENSGGOP00000017799,ENSMUSP00000080997,ENSRNOP00000051326,ENSBTAP00000053157,ENSXETP00000064138
7,ENSGALP00000043487,ENSP00000355206,ENSPTRP00000061401,ENSMMUP00000031377,ENSGGOP00000021306,ENSMUSP00000080998,ENSRNOP00000039725,ENSBTAP00000053159,ENSXETP00000064139
8,ENSGALP00000053436,ENSP00000354728,ENSPTRP00000061409,ENSMMUP00000031376,ENSGGOP00000020129,ENSMUSP00000081021,ENSRNOP00000042064,ENSBTAP00000053153,ENSXETP00000064140
9,ENSGALP00000058535,ENSP00000354961,ENSPTRP00000061398,ENSMMUP00000031375,ENSGGOP00000024209,ENSMUSP00000081000,ENSRNOP00000043141,ENSBTAP00000053150,ENSXETP00000064141
10,ENSGALP00000050219,ENSP00000354813,ENSPTRP00000061403,ENSMMUP00000031374,ENSGGOP00000022538,ENSMUSP00000081001,ENSRNOP00000044573,ENSBTAP00000053152,ENSXETP00000064142
11,ENSGALP00000049893,ENSP00000354554,ENSPTRP00000061405,ENSMMUP00000031372,ENSGGOP00000022734,ENSMUSP00000081003,ENSRNOP00000047954,ENSBTAP00000053148,ENSXETP00000064144
