ENSMUSP00000078221,29,5,ENSP00000302150,28,5,ENSPTRP00000030340,28,5,ENSMMUP00000047828,NA,NA,ENSGGOP00000001345,29,5,ENSRNOP00000056493,NA,NA,ENSBTAP00000013401,36,5,ENSGALP00000020651,NA,NA,ENSXETP00000050804,NA,NA
ENSMUSP00000102339,27,8,ENSP00000429969,31,7,ENSPTRP00000005841,26,5,ENSMMUP00000058707,NA,NA,ENSGGOP00000024009,NA,NA,ENSRNOP00000069415,31,9,ENSBTAP00000027416,30,13,ENSGALP00000047342,NA,NA,ENSXETP00000009635,NA,NA
ENSMUSP00000000924,35,9,ENSP00000215743,31,5,ENSPTRP00000024372,NA,NA,ENSMMUP00000011935,31,5,ENSGGOP00000008871,31,5,ENSRNOP00000035334,35,9,ENSBTAP00000008025,NA,NA,ENSGALP00000009583,NA,NA,ENSXETP00000048436,NA,NA
ENSMUSP00000142301,32,8,ENSP00000356574,29,6,ENSPTRP00000002902,NA,NA,NULL,NA,NA,ENSGGOP00000009739,NA,NA,ENSRNOP00000061072,32,8,ENSBTAP00000018869,NA,NA,ENSGALP00000006256,NA,NA,ENSXETP00000050082,NA,NA
ENSMUSP00000059668,47,12,ENSP00000418875,39,8,ENSPTRP00000025615,39,8,ENSMMUP00000027983,38,7,ENSGGOP00000018840,NA,NA,ENSRNOP00000052963,52,12,ENSBTAP00000047813,42,6,NULL,NA,NA,NULL,NA,NA
ENSMUSP00000001256,26,5,ENSP00000467290,25,8,ENSPTRP00000017536,25,8,ENSMMUP00000043425,NA,NA,NULL,NA,NA,ENSRNOP00000067668,26,6,ENSBTAP00000003619,25,8,ENSGALP00000001772,26,5,ENSXETP00000047775,NA,NA
ENSMUSP00000089703,31,7,ENSP00000324532,NA,NA,ENSPTRP00000016876,NA,NA,ENSMMUP00000005791,NA,NA,ENSGGOP00000025956,NA,NA,ENSRNOP00000075948,NA,NA,ENSBTAP00000053727,NA,NA,ENSGALP00000024241,NA,NA,ENSXETP00000033055,NA,NA
ENSMUSP00000000312,22,5,ENSP00000261769,22,5,ENSPTRP00000014119,22,5,ENSMMUP00000042758,NA,NA,ENSGGOP00000005902,22,5,ENSRNOP00000027346,22,5,ENSBTAP00000021272,NA,NA,ENSGALP00000000855,26,5,ENSXETP00000035755,NA,NA
ENSMUSP00000119790,30,7,ENSP00000311502,28,6,ENSPTRP00000026403,28,6,ENSMMUP00000001551,NA,NA,ENSGGOP00000006971,28,6,ENSRNOP00000002443,NA,NA,ENSBTAP00000028521,29,6,ENSGALP00000019261,NA,NA,ENSXETP00000050522,NA,NA
ENSMUSP00000072942,22,5,ENSP00000259951,21,5,ENSPTRP00000055208,24,5,ENSMMUP00000059702,NA,NA,ENSGGOP00000018173,NA,NA,NULL,NA,NA,NULL,NA,NA,ENSGALP00000058295,NA,NA,ENSXETP00000038903,NA,NA
ENSMUSP00000102835,25,8,ENSP00000357909,24,8,ENSPTRP00000002167,24,8,ENSMMUP00000010045,24,8,ENSGGOP00000021928,24,8,ENSRNOP00000050221,23,7,ENSBTAP00000009575,23,7,NULL,NA,NA,ENSXETP00000012836,NA,NA
ENSMUSP00000130933,27,5,ENSP00000302324,23,5,ENSPTRP00000052810,23,5,ENSMMUP00000025631,23,5,ENSGGOP00000004990,23,5,ENSRNOP00000039262,25,5,ENSBTAP00000036092,NA,NA,ENSGALP00000031533,NA,NA,NULL,NA,NA
ENSMUSP00000029629,25,7,ENSP00000243501,22,5,ENSPTRP00000028106,22,5,ENSMMUP00000010706,NA,NA,ENSGGOP00000001066,22,5,ENSRNOP00000073613,25,7,ENSBTAP00000020263,NA,NA,ENSGALP00000019868,NA,NA,ENSXETP00000052027,NA,NA
ENSMUSP00000047823,43,9,ENSP00000367013,NA,NA,ENSPTRP00000059589,NA,NA,ENSMMUP00000031179,NA,NA,ENSGGOP00000019289,NA,NA,ENSRNOP00000052331,30,9,ENSBTAP00000008557,NA,NA,ENSGALP00000043230,NA,NA,ENSXETP00000059924,NA,NA
ENSMUSP00000036974,17,6,ENSP00000366923,25,7,ENSPTRP00000035842,25,7,NULL,NA,NA,ENSGGOP00000022671,27,7,ENSRNOP00000015270,17,8,ENSBTAP00000018719,NA,NA,NULL,NA,NA,ENSXETP00000032269,NA,NA
