0,ENSXETP00000048388,ENSP00000259407,ENSPTRP00000049134,NULL,ENSGGOP00000020001,ENSMUSP00000092702,ENSBTAP00000036271,ENSGALP00000049999,NULL
1,ENSXETP00000055707,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,ENSXETP00000018365,ENSP00000229314,ENSPTRP00000008124,ENSMMUP00000014233,ENSGGOP00000026307,ENSMUSP00000032372,ENSBTAP00000000490,ENSGALP00000056457,NULL
3,ENSXETP00000024182,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,ENSXETP00000042744,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,ENSXETP00000063722,ENSP00000357080,ENSPTRP00000002579,ENSMMUP00000014883,NULL,ENSMUSP00000058008,ENSBTAP00000014115,NULL,NULL
6,ENSXETP00000057221,ENSP00000274793,ENSPTRP00000043561,ENSMMUP00000025300,ENSGGOP00000026957,ENSMUSP00000024706,ENSBTAP00000025719,ENSGALP00000026919,NULL
7,ENSXETP00000058307,ENSP00000397261,ENSPTRP00000002193,ENSMMUP00000051365,ENSGGOP00000025276,ENSMUSP00000088358,ENSBTAP00000010644,ENSGALP00000001274,NULL
8,ENSXETP00000044773,ENSP00000397261,ENSPTRP00000002193,ENSMMUP00000051365,ENSGGOP00000025276,ENSMUSP00000088358,ENSBTAP00000010644,ENSGALP00000001274,NULL
9,ENSXETP00000002577,ENSP00000278980,ENSPTRP00000039046,ENSMMUP00000043454,ENSGGOP00000020828,ENSMUSP00000071752,ENSBTAP00000021846,ENSGALP00000010695,NULL
10,ENSXETP00000044073,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,ENSXETP00000044222,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,ENSXETP00000059886,ENSP00000446100,ENSPTRP00000053392,ENSMMUP00000048660,ENSGGOP00000000034,ENSMUSP00000130264,ENSBTAP00000017983,ENSGALP00000051900,NULL
13,ENSXETP00000060559,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,ENSXETP00000061687,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
